Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2015-01-02,69.32036590576172,72.9150161743164,71.67829895019531,102.69722747802734,143.6387481689453,122.39220428466795,55.76970291137695,113.65721130371094,96.10853576660156,73.67086029052734,45.94000625610352,52.35903549194336,107.59475708007812,108.93566131591795,74.40646362304688,147.59689331054688,108.57351684570312,43.06499481201172,37.8642692565918,92.66259002685548,85.62130737304688,10.066514015197754,146.73715209960938,89.36914825439453,
2015-01-05,65.66122436523438,71.35506439208984,70.3123779296875,100.81211853027344,140.6516876220703,119.80999755859376,54.83890151977539,112.87004852294922,93.94103240966795,71.85009002685547,44.99578475952149,50.193153381347656,102.979736328125,106.66173553466795,72.91670989990234,145.3288116455078,104.89559173583984,42.346946716308594,36.93296813964844,89.52982330322266,83.45626831054688,9.794139862060549,142.43673706054688,86.36712646484375,
2015-01-06,65.23870849609375,70.7607421875,70.14788055419922,98.64016723632812,139.99037170410156,120.47020721435548,54.06326675415039,111.5406265258789,92.93928527832033,70.86194610595703,44.92143630981445,49.63047790527344,101.47193908691406,106.78761291503906,72.43810272216797,145.32025146484375,105.48139190673828,41.34869766235352,35.886348724365234,87.67830657958984,80.79701232910156,9.403834342956545,140.4505157470703,85.37715148925781,
2015-01-07,66.24967956542969,70.45536041259766,70.6556396484375,98.68115997314452,141.7959442138672,124.28085327148438,54.64984130859375,113.27236938476562,93.61300659179688,71.63224029541016,44.82477188110352,49.77691650390625,102.2633285522461,106.37848663330078,73.1122055053711,146.39013671875,105.9856185913086,41.12979507446289,36.18791580200195,88.16265106201172,80.79701232910156,9.527384757995604,141.88644409179688,85.52204132080078,
2015-01-08,66.92871856689453,71.38806915283203,71.94288635253906,99.86961364746094,144.99114990234375,127.16390991210938,55.58063125610352,115.2752685546875,95.85665893554688,73.35966491699219,45.99949264526367,51.55741882324219,105.49549865722656,108.94354248046876,74.42668914794922,149.81362915039062,108.12863159179688,42.19809341430664,37.14582443237305,91.46730041503906,81.5736083984375,9.6790132522583,142.84359741210938,88.04117584228516,
2015-01-09,66.12897491455078,70.69474029541016,70.74860382080078,98.47623443603516,144.9093780517578,127.64021301269533,55.27522277832031,115.04785919189452,94.6791763305664,72.80717468261719,45.2783088684082,50.91767501831055,104.83740234375,109.3448257446289,73.88067626953125,147.7766876220703,106.4824676513672,41.05097579956055,36.17905044555664,89.8266830444336,80.93037414550781,9.659361839294434,142.05538940429688,86.528076171875,
2015-01-12,65.55558776855469,70.52964782714844,70.4053726196289,98.27130889892578,144.5006561279297,126.99674224853516,55.48368453979492,114.46186065673828,94.16365814208984,72.47257232666016,44.735557556152344,50.47062301635742,104.78740692138672,108.50293731689452,73.90764617919922,147.69961547851562,105.7112808227539,40.33293533325195,35.70008850097656,89.03765869140625,79.98904418945312,9.521770477294922,139.99069213867188,85.31273651123047,
2015-01-13,65.16326141357422,70.89282989501953,70.90592956542969,97.7795639038086,144.4115447998047,127.02185821533205,55.43035888671875,114.72425079345705,94.09334564208984,72.38701629638672,44.66865921020508,50.4552116394043,103.43790435791016,108.41632843017578,74.22447204589844,146.7837677001953,104.8066177368164,40.81455993652344,35.90409469604492,87.36577606201172,79.61251831054688,9.420683860778809,139.67160034179688,84.08942413330078,
2015-01-14,64.93692016601562,71.37981414794922,70.57699584960938,97.45175170898438,143.57931518554688,127.11373901367188,55.03281021118164,114.03331756591795,93.63643646240234,72.23917388916016,44.3266487121582,49.51485061645508,101.9384536743164,108.5586395263672,73.7256088256836,147.8536834716797,105.59264373779295,39.67618179321289,34.981658935546875,86.99862670898438,79.28305053710938,9.448765754699709,138.93019104003906,84.40331268310547,
2015-01-15,64.13824462890625,71.97407531738281,69.44706726074219,96.6321029663086,142.94032287597656,127.28086853027344,55.03281021118164,113.82337951660156,93.53099822998048,71.71784210205078,44.148216247558594,49.383827209472656,99.90584564208984,108.8431625366211,73.67172241210938,148.79515075683594,104.94010925292967,39.44851303100586,34.5026969909668,86.56112670898438,79.88707733154297,9.57792854309082,136.90313720703125,84.34698486328125,
2015-01-16,63.78833770751953,72.05663299560547,70.2408676147461,96.6730728149414,144.6790771484375,128.1332244873047,56.30781173706055,114.3831558227539,94.90177154541016,72.58934020996094,44.86941146850586,49.78462600708008,99.96417236328124,109.9180908203125,74.35254669189453,151.28575134277344,104.45069885253906,40.140281677246094,35.017120361328125,87.42048645019531,81.25199890136719,9.78852653503418,136.7811737060547,84.25846099853516,
2015-01-20,63.87202453613281,71.91630554199219,70.78435516357422,97.73858642578124,145.4517822265625,128.46751403808594,56.976810455322266,114.76795959472656,94.86662292480467,72.68267822265625,44.96604537963867,49.94649124145508,100.89713287353516,109.14350128173828,75.03339385986328,153.31422424316406,105.31829071044922,43.05624008178711,36.17905044555664,89.02201080322266,81.1500015258789,9.698671340942385,137.0532989501953,84.87012481689453,
2015-01-21,64.93692779541016,72.32901000976562,70.97744750976562,98.5172119140625,145.2660369873047,128.8937530517578,57.704002380371094,115.8087921142578,95.2181167602539,72.93167114257812,45.337791442871094,50.7326774597168,101.72187042236328,109.77581024169922,75.28279876708984,152.9376220703125,107.32038116455078,43.06499481201172,37.10149002075195,89.37359619140625,81.85602569580078,9.743597984313965,138.4703826904297,85.62667846679688,
