Date,AAPL,MSFT,NVDA,AVGO,AMD,INTC,QCOM,TXN,MU,ORCL,CRM,NOW,SNOW,PANW,ANET,ADBE,SHOP,SAP,ASML,TSM,LRCX,KLAC,AMAT,ADI,NXPI,INTU,CDNS,CRWD,ZS,MDB
2015-01-02,24.237548828125,39.85845184326172,0.4830115139484405,7.574804306030273,2.6700000762939453,27.896461486816406,54.33495330810547,39.55797576904297,33.919158935546875,37.58310317993164,58.62333679199219,67.37999725341797,,20.23666763305664,3.9175000190734863,72.33999633789062,,58.99245834350586,96.40487670898438,16.676713943481445,6.803585529327393,56.88385391235352,21.764577865600582,44.51114273071289,68.5622329711914,83.3922119140625,18.829999923706055,,,
2015-01-05,23.55474090576172,39.49192428588867,0.4748531579971313,7.453714847564697,2.6600000858306885,27.581899642944336,54.07894515991211,38.94403076171875,32.972354888916016,37.056034088134766,57.56446838378906,67.1500015258789,,20.621667861938477,3.987499952316284,71.9800033569336,,56.60041427612305,93.16445922851562,16.27251625061035,6.72052001953125,55.61328887939453,21.06699562072754,43.70171356201172,67.8392105102539,83.06305694580078,18.399999618530273,,,
2015-01-06,23.55695915222168,38.912296295166016,0.4604564011096954,7.284194469451904,2.630000114440918,27.067848205566406,53.31086349487305,38.300506591796875,32.0841178894043,36.67348098754883,56.60456848144531,66.33000183105469,,20.308332443237305,3.988125085830689,70.52999877929688,,55.32016372680664,90.4087371826172,15.988088607788086,6.608340740203857,53.970462799072266,20.273487091064453,42.67588424682617,64.60790252685547,80.51219177246094,17.90999984741211,,,
2015-01-07,23.88727378845215,39.40667724609375,0.4592567682266235,7.480963230133057,2.5799999237060547,27.635597229003903,53.932647705078125,38.98841094970703,31.33251953125,36.68199157714844,56.337379455566406,67.08999633789062,,20.921667098999023,4.071249961853027,71.11000061035156,,54.82322692871094,90.92039489746094,16.220123291015625,6.6425933837890625,54.8687629699707,20.465328216552734,43.12469482421875,66.3485107421875,81.30072784423828,18.420000076293945,,,
2015-01-08,24.805084228515625,40.565956115722656,0.4765328168869018,7.854816913604736,2.609999895095825,28.14963722229004,54.50318908691406,39.62452697753906,32.864990234375,36.90301513671875,57.98009490966797,68.88999938964844,,21.20166778564453,4.132500171661377,72.91999816894531,,55.69919204711914,92.82335662841795,16.324913024902344,6.814718246459961,55.78323745727539,21.119312286376953,43.88603591918945,69.48162841796875,82.39186096191406,18.61000061035156,,,
2015-01-09,24.831682205200195,40.224998474121094,0.4784523844718933,7.938824653625488,2.630000114440918,28.203351974487305,54.437374114990234,39.64672088623047,32.728328704833984,36.88602828979492,57.55457305908203,67.11000061035156,,20.969999313354492,4.151249885559082,71.83999633789062,,54.7726936340332,91.63848876953124,15.868325233459473,6.82756233215332,55.97746658325195,21.136747360229492,43.853981018066406,71.6953125,80.65892028808594,18.549999237060547,,,
2015-01-12,24.219820022583008,39.722076416015625,0.4724538326263428,7.807142734527588,2.630000114440918,28.080596923828125,53.81559753417969,39.291690826416016,30.903045654296875,36.78399658203125,57.12905502319336,68.19000244140625,,21.213333129882812,4.129374980926514,71.12000274658203,,57.02154541015625,92.85923767089844,15.56143569946289,6.620328426361084,54.294166564941406,20.631000518798828,43.41318893432617,71.72210693359375,79.51278686523438,18.36000061035156,,,
2015-01-13,24.434860229492188,39.517486572265625,0.4717338979244232,7.763248920440674,2.6600000858306885,28.00387382507324,53.376712799072266,39.04759216308594,30.102651596069336,36.494972229003906,57.36655807495117,67.2699966430664,,20.791667938232425,4.07937479019165,70.58999633789062,,56.33930969238281,92.85923767089844,15.756040573120115,6.556103706359863,53.40397262573242,20.34325408935547,42.91630935668945,70.73128509521484,79.13685607910156,18.43000030517578,,,
2015-01-14,24.34174346923828,39.176517486572266,0.4736534655094147,7.824546813964844,2.630000114440918,27.888784408569336,52.82809829711914,38.98841094970703,29.331539154052734,36.60548400878906,56.654052734375,66.33999633789062,,21.049999237060547,4.066249847412109,69.98999786376953,,56.40669631958008,92.5540771484375,15.76353645324707,6.512430191040039,53.04789733886719,20.072935104370117,42.88425064086914,71.47215270996094,79.06352996826172,18.260000228881836,,,
2015-01-15,23.681102752685547,38.767372131347656,0.4702942967414856,7.667890071868896,2.5199999809265137,27.76602554321289,52.21364212036133,38.75171661376953,28.599462509155273,36.23994445800781,54.53632736206055,63.630001068115234,,20.34666633605957,3.950624942779541,70.29000091552734,,56.33088302612305,91.52181243896484,17.13330078125,6.566378116607666,54.11613082885742,20.34325408935547,42.2591438293457,68.38369750976562,78.00909423828125,17.729999542236328,,,
2015-01-16,23.49709701538086,39.41520690917969,0.4789322912693023,7.857094287872315,2.390000104904175,27.965499877929688,52.14780807495117,39.41741561889648,28.2968807220459,36.988033294677734,56.050392150878906,63.959999084472656,,20.834999084472656,4.033750057220459,71.7300033569336,,56.52461242675781,92.4912338256836,16.916234970092773,6.643450736999512,54.89303207397461,20.465328216552734,43.02849578857422,69.54410552978516,79.23771667480469,18.329999923706055,,,
2015-01-20,24.10231590270996,39.543067932128906,0.4803719818592071,7.936555862426758,2.240000009536743,27.68930435180664,53.01827621459961,39.80205154418945,28.960620880126953,37.31957244873047,56.69363021850586,64.83000183105469,,20.74333381652832,4.091875076293945,71.48999786376953,,53.53456497192383,93.1823959350586,17.283002853393555,6.722233295440674,55.767059326171875,20.604839324951172,43.58950424194336,70.3207015991211,80.15460205078125,18.13999938964844,,,
