Date,JPM,BAC,C,WFC,GS,MS,BLK,BK,STT,TROW,SCHW,AXP,COF,USB,PNC,TFC,CMA,MTB,RF,CB,TRV,AIG,MET,PRU
2015-01-02,46.72093963623047,14.20364475250244,40.4128303527832,40.15970993041992,156.37388610839844,28.71561050415039,271.2169494628906,30.796171188354492,58.12138748168945,57.45051193237305,26.447301864624023,79.46623229980469,67.56950378417969,30.783935546875,64.32989501953125,25.189044952392575,31.043554306030273,92.2708511352539,7.1792683601379395,93.29059600830078,83.09918212890625,43.31412887573242,33.22154998779297,55.96084976196289
2015-01-05,45.27048110961914,13.791024208068848,39.139217376708984,39.058441162109375,151.4914093017578,27.81800842285156,264.1994934082031,30.004579544067383,57.15704727172851,56.13082504272461,25.563386917114254,77.36466979980469,66.01315307617188,30.042306900024418,62.360721588134766,24.393945693969727,29.937000274658203,89.29792022705078,6.9333577156066895,91.76618194580078,82.09825897216797,42.45724868774414,32.1123046875,54.1847038269043
2015-01-06,44.096656799316406,13.378405570983888,37.761348724365234,38.243499755859375,148.4268341064453,27.016862869262695,260.0940246582031,29.136873245239254,55.52501678466797,55.13936233520508,24.62696647644043,75.71590423583984,64.78448486328125,29.64403533935547,60.745758056640625,23.918184280395508,29.038345336914062,87.29637145996094,6.701107025146484,90.95915985107422,81.36534118652344,41.85512924194336,31.138647079467773,53.06064987182617
2015-01-07,44.16395950317383,13.441884994506836,38.11140441894531,38.47111129760742,150.63876342773438,27.40259552001953,265.5984191894531,29.738182067871097,56.04429626464844,55.94994354248047,25.108304977416992,77.36954498291016,65.52167510986328,29.904979705810547,61.44697570800781,24.237529754638672,29.320024490356445,87.48033142089844,6.742092609405518,92.25529479980467,82.7524185180664,42.05583953857422,31.551525115966797,53.0916862487793
2015-01-08,45.15086364746094,13.719611167907717,38.68489456176758,39.32274627685547,153.04379272460938,27.810604095458984,268.7003479003906,30.14920425415039,57.23120880126953,56.613162994384766,25.76466941833496,78.46624755859375,66.16062927246094,30.124711990356445,62.62987518310547,24.641599655151367,29.937000274658203,89.25377655029297,6.844554901123047,93.7470932006836,84.47048950195312,41.870574951171875,32.03219985961914,53.94249725341797
2015-01-09,44.36580657958984,13.473623275756836,37.820926666259766,38.676658630371094,150.6951446533203,27.35810279846191,265.514892578125,29.70772933959961,56.400386810302734,56.18442153930664,24.898265838623047,77.47232818603516,65.01383972167969,29.49983787536621,61.461181640625,24.002910614013672,28.602447509765625,87.45825958251953,6.64646053314209,92.4183349609375,83.40656280517578,41.16038513183594,31.44061279296875,52.986106872558594
2015-01-12,43.98451232910156,13.235572814941406,37.52300262451172,38.21413040161133,148.8612060546875,26.979774475097656,263.7661437988281,29.281497955322266,55.91079330444336,55.55470657348633,24.653215408325195,76.68407440185547,64.75989532470703,29.22515869140625,61.029075622558594,23.781322479248047,28.327482223510746,86.88429260253906,6.5166730880737305,91.30152893066406,82.91001892089844,40.41930389404297,31.077035903930664,52.29677200317383
2015-01-13,43.99198532104492,13.053072929382324,37.25489044189453,38.06729888916016,148.74856567382812,26.72754669189453,264.5644836425781,29.22821044921875,55.77726364135742,55.64179992675781,24.670726776123047,76.45275115966797,64.21111297607422,28.909284591674805,60.20281982421875,23.74221992492676,28.025693893432617,87.45825958251953,6.414209365844727,91.44010925292967,83.03614044189453,40.041046142578125,30.694957733154297,51.78132247924805
2015-01-14,42.47425079345703,12.72773551940918,36.53242874145508,37.62678909301758,144.96810913085938,26.1192569732666,262.8690490722656,28.489904403686523,54.41230773925781,54.777626037597656,23.830570220947266,74.60202026367188,62.867733001708984,28.38741111755371,59.12016677856445,23.240394592285156,27.7708683013916,84.85328674316406,6.2570977210998535,89.54887390136719,81.78298950195312,39.66279602050781,30.15883445739746,50.41506576538086
2015-01-15,41.113529205322266,12.06119441986084,35.176883697509766,37.23766326904297,143.56857299804688,25.651920318603516,260.360107421875,28.352876663208008,53.98946762084961,54.28189849853515,23.340486526489254,73.58245086669922,63.03157043457031,28.11273193359375,58.70701599121094,23.13612174987793,27.46906852722168,84.16889190673828,6.140973091125488,89.52438354492188,82.12981414794922,38.90628433227539,29.56723976135254,49.545616149902344
2015-01-16,41.81631851196289,12.204026222229004,35.45991516113281,37.913116455078125,142.55506896972656,25.881881713867188,264.6329345703125,28.512720108032227,54.642276763916016,54.59675598144531,23.541772842407227,73.71952056884766,62.78583526611328,28.51100730895996,60.14585494995117,23.475017547607425,27.811098098754883,84.64725494384766,6.19561767578125,91.09773254394533,83.96611022949219,39.454368591308594,30.18963050842285,50.30325698852539
2015-01-20,41.65182876586914,12.108806610107422,35.1992301940918,38.17742538452149,141.26809692382812,25.77802848815918,263.5077209472656,28.345273971557617,54.301021575927734,54.50295639038086,23.41049575805664,74.76483917236328,63.39197540283203,28.29813766479492,60.2740592956543,23.305570602416992,27.100229263305664,83.05038452148438,5.970200061798096,90.05429077148438,83.41441345214844,39.09928131103515,30.03557586669922,49.99897003173828
2015-01-21,41.78641128540039,12.227828979492188,35.556739807128906,38.25084686279297,142.49072265625,25.763195037841797,265.7201232910156,28.581235885620117,55.44343948364258,54.40248107910156,23.366744995117188,75.11613464355469,63.244537353515625,28.977962493896484,60.38801574707031,23.227354049682617,27.361770629882812,82.62358093261719,5.949710845947266,90.11133575439452,82.76026916503906,39.238224029541016,30.36219596862793,50.05485916137695
