Date,NEE,DUK,SO,D,AEP,EXC,SRE,XEL
2015-01-02,20.032854080200195,53.36251449584961,30.94066047668457,48.50333786010742,41.37131881713867,18.12308120727539,40.092166900634766,25.73632049560547
2015-01-05,19.820669174194336,52.59429168701172,30.809059143066406,47.91496276855469,40.76241683959961,17.6069393157959,39.35892868041992,25.444189071655273
2015-01-06,19.89766311645508,53.45773696899414,31.178821563720703,47.67085647583008,40.98568344116211,17.471866607666016,38.99052047729492,25.579572677612305
2015-01-07,20.079795837402344,53.62914276123047,31.52349853515625,47.86491394042969,41.567508697509766,17.495986938476562,39.62004089355469,25.800451278686523
2015-01-08,20.201839447021484,53.84501266479492,31.548568725585938,48.428226470947266,41.926082611083984,17.63105583190918,39.97412872314453,26.09971046447754
2015-01-09,20.023466110229492,53.92120742797851,31.147470474243164,47.883670806884766,41.70281219482422,17.60210609436035,39.612884521484375,25.77907943725586
2015-01-12,19.97277450561523,53.97200393676758,31.15374755859375,47.883670806884766,41.6486930847168,17.669635772705078,39.39827728271485,25.551063537597656
2015-01-13,20.051633834838867,54.2640495300293,31.134944915771484,47.84611892700195,41.85843276977539,17.61174964904785,39.63434600830078,25.75770378112793
2015-01-14,20.175559997558594,54.40373611450195,31.454561233520508,47.85237121582031,42.46056365966797,17.809532165527344,39.86684036254883,25.985708236694336
2015-01-15,20.09857177734375,55.08306884765625,31.83684730529785,48.303035736083984,42.731178283691406,17.978370666503906,40.11006164550781,26.213712692260746
2015-01-16,20.320140838623047,55.457637786865234,32.181541442871094,48.67232131958008,43.008567810058594,18.031431198120117,40.3997802734375,26.37759780883789
2015-01-20,20.453454971313477,55.67350006103515,32.375823974609375,49.054168701171875,42.981502532958984,17.968719482421875,40.65730285644531,26.55571937561035
2015-01-21,20.633708953857425,56.30204391479492,32.59516906738281,49.617488861083984,43.39419937133789,18.3256778717041,40.95417022705078,26.776607513427734
2015-01-22,20.56986427307129,56.27030563354492,32.67037582397461,49.27324676513672,43.35361862182617,17.968719482421875,40.9577522277832,26.733861923217773
2015-01-23,20.55672264099121,56.32744598388672,32.733055114746094,49.50482177734375,43.65129470825195,18.026607513427734,41.16162872314453,26.904857635498047
2015-01-26,20.607421875,56.21952438354492,32.733055114746094,49.40468978881836,43.68513107299805,18.012130737304688,40.96490478515625,26.83361053466797
2015-01-27,20.88343620300293,56.32744598388672,32.85211944580078,49.43599319458008,43.4686279296875,18.0458984375,40.968482971191406,26.88348388671875
