Date,GOOGL,META,DIS,NFLX,VZ,T,TMUS,CMCSA,CHTR,EA,TTWO
2015-01-02,26.296133041381836,77.96934509277344,85.94352722167969,4.984857082366943,26.57319450378418,11.657841682434082,26.374691009521484,22.256118774414062,166.42999267578125,45.5714225769043,28.100000381469727
2015-01-05,25.795087814331055,76.71705627441406,84.68758392333984,4.731142997741699,26.352502822875977,11.547704696655272,26.017230987548828,21.80222511291504,160.5,45.27972412109375,27.6200008392334
2015-01-06,25.158483505249023,75.68343353271484,84.2384033203125,4.650143146514893,26.618471145629883,11.56490707397461,25.95926856994629,21.517810821533203,156.30999755859375,44.68661880493164,27.93000030517578
2015-01-07,25.084487915039062,75.68343353271484,85.10013580322266,4.674285888671875,26.446701049804688,11.632343292236328,27.292490005493164,21.498334884643555,156.7899932861328,45.51308059692383,28.100000381469727
2015-01-08,25.17188835144043,77.70098876953125,85.98019409179688,4.7779998779296875,27.01354217529297,11.748065948486328,28.036392211914062,21.96586227416992,162.94000244140625,46.7965087890625,28.459999084472656
2015-01-09,24.86450958251953,77.26367950439453,86.40190124511719,4.704143047332764,26.773059844970703,11.712995529174805,28.25859832763672,21.93079948425293,161.97999572753906,46.19367980957031,27.8700008392334
2015-01-12,24.682762145996097,76.24993896484375,86.59439849853516,4.554714202880859,26.956275939941406,11.744559288024902,28.27791976928711,21.884048461914062,163.85000610351562,45.75614547729492,27.8700008392334
2015-01-13,24.918136596679688,75.98159790039062,87.26363372802734,4.625570774078369,27.01354217529297,11.744559288024902,28.47113990783691,22.145076751708984,164.39999389648438,45.13387680053711,27.690000534057617
2015-01-14,25.12322235107422,75.81263732910156,86.383544921875,4.631999969482422,26.893299102783203,11.68844985961914,28.5677490234375,21.747682571411133,158.1300048828125,45.600589752197266,27.84000015258789
2015-01-15,25.027881622314453,73.59630584716797,86.49354553222656,4.625143051147461,26.96772575378418,11.663902282714844,28.19096946716309,21.81781005859375,160.49000549316406,45.347782135009766,27.700000762939453
2015-01-16,25.348173141479492,74.71937561035156,87.25444793701172,4.819142818450928,27.47730255126953,11.853277206420898,28.152324676513672,22.1178035736084,161.11000061035156,46.75761795043945,29.209999084472656
2015-01-20,25.32234764099121,75.77288055419922,86.85107421875,4.9828572273254395,27.586097717285156,11.905879974365234,28.538768768310547,21.74378776550293,156.1300048828125,46.48537063598633,29.040000915527344
2015-01-21,25.841272354125977,76.26982116699219,86.32853698730469,5.846857070922852,27.62617874145508,11.923412322998049,29.060462951660156,21.728200912475582,155.75,46.73817443847656,29.209999084472656
2015-01-22,26.680978775024418,77.17424774169922,87.22694396972656,6.120571136474609,27.368528366088867,11.849770545959473,29.466228485107425,22.039884567260746,158.99000549316406,47.99242401123047,29.709999084472656
2015-01-23,26.91188621520996,77.35314178466797,86.83274841308594,6.249429225921631,26.996362686157227,11.70248031616211,29.13775062561035,21.93859100341797,158.92999267578125,48.41050720214844,29.86000061035156
2015-01-26,26.652177810668945,77.02515411376953,87.06194305419922,6.379428863525391,26.88756561279297,11.63584804534912,29.620805740356445,22.08663558959961,158.17999267578125,48.10910415649414,30.5
2015-01-27,25.88099670410156,75.3156967163086,86.14521026611328,6.488142967224121,26.53830337524414,11.506094932556152,29.620805740356445,21.95806884765625,156.42999267578125,47.06874465942383,29.670000076293945
2015-01-28,25.445995330810547,75.77288055419922,84.95345306396484,6.320857048034668,26.36653709411621,11.46050262451172,29.07012367248535,21.26847267150879,150.60000610351562,53.09697341918945,29.88999938964844
2015-01-29,25.4857234954834,77.5220947265625,85.45765686035156,6.340000152587891,26.400888442993164,11.558696746826172,28.54842758178711,20.987953186035156,152.08999633789062,53.797019958496094,30.09000015258789
2015-01-30,26.693395614624023,75.44490814208984,83.3858413696289,6.311429023742676,26.171865463256836,11.544668197631836,29.157073974609375,20.707435607910156,151.1199951171875,53.34004592895508,29.719999313354492
2015-02-02,26.42772674560547,74.53053283691406,84.27507781982422,6.301000118255615,26.899019241333008,11.769107818603516,29.31164932250977,20.964580535888672,154.0,53.44699478149414,29.989999771118164
2015-02-03,26.482349395751953,74.93801879882812,86.26436614990234,6.527429103851318,27.385698318481445,12.042648315429688,29.84300994873047,21.58794212341309,157.97000122070312,53.00946044921875,29.84000015258789
2015-02-04,26.124813079833984,75.1666259765625,92.84648895263672,6.41014289855957,27.368528366088867,12.067194938659668,29.70775604248047,22.16845703125,163.19000244140625,53.04835891723633,28.969999313354492
2015-02-05,26.31003761291504,75.14674377441406,94.09326934814452,6.413000106811523,27.402881622314453,12.112783432006836,30.15216064453125,22.19573211669922,174.3000030517578,54.827659606933594,28.770000457763672
2015-02-06,26.511150360107425,74.01373291015625,93.5248794555664,6.3480000495910645,28.24454116821289,12.228515625,30.248775482177734,22.176246643066406,173.42999267578125,53.61228942871094,28.790000915527344
2015-02-09,26.282724380493164,73.98391723632812,93.25904083251952,6.329570770263672,28.10712623596191,12.147850036621094,30.026567459106445,22.24248504638672,172.13999938964844,52.7761116027832,28.31999969482422
2015-02-10,26.822998046875,74.72931671142578,93.4332046508789,6.485000133514404,28.34760475158691,12.221498489379885,30.239112854003903,22.367149353027344,175.88999938964844,53.24280548095703,27.790000915527344
2015-02-11,26.715736389160156,76.04122161865234,93.38736724853516,6.498428821563721,28.519380569458008,12.060178756713867,30.200468063354492,22.511306762695312,175.2899932861328,53.42755508422851,27.31999969482422
2015-02-12,27.113496780395508,75.76295471191406,94.95498657226562,6.52471399307251,28.35333824157715,12.13733196258545,30.519285202026367,22.745067596435547,177.02999877929688,54.64291763305664,27.440000534057617
