Date,JNJ,PFE,MRK,ABBV,LLY,BMY,GILD,AMGN,MDT,SYK,ISRG,DHR,TMO,UNH,HUM,CI,HCA,CVS,ZBH,REGN
2015-01-02,76.95555114746094,18.68891716003418,39.10074615478515,42.091426849365234,57.47672653198242,41.7939567565918,66.37438201904297,116.4365463256836,55.08711242675781,82.98159790039062,58.39666748046875,35.05587387084961,124.01412963867188,85.04849243164062,131.5570831298828,93.92723846435548,68.86150360107422,69.60365295410156,100.20893096923828,407.8977355957031
2015-01-05,76.4180908203125,18.58750343322754,39.6818962097168,41.299312591552734,56.91066360473633,41.140811920166016,67.68911743164062,115.05288696289062,54.857177734375,81.70146942138672,57.1522216796875,34.7082405090332,122.31053161621094,83.64759826660156,128.07005310058594,92.31045532226562,66.85065460205078,68.91565704345703,103.94709014892578,410.1950378417969
2015-01-06,76.04259490966797,18.742605209350582,41.2407341003418,41.094879150390625,57.197792053222656,41.07059097290039,68.29057312011719,111.34619903564452,54.58129119873047,81.586669921875,57.75444412231445,34.471046447753906,121.16836547851562,83.47883605957031,127.9688720703125,92.67583465576172,66.7389144897461,68.96688842773438,103.06597137451172,394.7009582519531
2015-01-07,77.72129821777344,18.999107360839844,42.12269592285156,42.75579452514648,56.79581832885742,41.604339599609375,69.57032775878906,115.2349624633789,55.94544219970703,83.13170623779297,58.07110977172851,34.67960739135742,124.7982177734375,84.33118438720703,130.3977508544922,94.8497543334961,67.94916534423828,70.21113586425781,105.6292724609375,405.4711608886719
2015-01-08,78.33241271972656,19.3868408203125,42.970489501953125,43.20295715332031,58.14124298095703,42.64374542236328,71.54251098632812,114.8198699951172,57.28660583496094,84.5443115234375,59.22222137451172,35.21535110473633,126.09523010253906,88.3565673828125,136.01007080078125,99.68177032470705,69.75520324707031,71.70419311523438,106.7507095336914,401.02587890625
2015-01-09,77.26480102539062,19.476320266723633,42.772216796875,42.02115631103515,57.37009048461914,42.362815856933594,71.47953796386719,113.4071044921875,57.01836013793945,83.52017974853516,57.87444305419922,34.978153228759766,125.5918960571289,87.52957153320312,135.0164031982422,98.64962005615234,69.49452209472656,71.66761016845703,105.21092987060548,408.7729187011719
2015-01-12,76.99976348876953,19.54789352416992,42.594459533691406,42.00838088989258,56.95167922973633,43.669097900390625,70.78020477294922,113.76393127441406,57.07200241088867,83.00810241699219,58.38999938964844,34.54466247558594,124.3819808959961,86.5422134399414,133.8755645751953,96.98717498779295,67.21372985839844,71.1406478881836,105.46013641357422,411.0502624511719
2015-01-13,77.13228607177734,19.351043701171875,42.519248962402344,40.798397064208984,56.91886901855469,44.32926559448242,67.98286437988281,112.97743225097656,55.78451919555664,83.1846923828125,57.96222305297851,34.4955940246582,124.2270965576172,86.98103332519531,135.0992431640625,97.58091735839844,67.15784454345703,71.16991424560547,105.69156646728516,404.24798583984375
2015-01-14,76.57270050048828,19.37491226196289,42.826908111572266,40.99791717529297,57.23060989379883,44.20987319946289,69.41651153564453,112.99199676513672,55.002803802490234,82.32831573486328,59.48444366455078,33.951663970947266,122.15569305419922,87.20045471191406,135.75241088867188,98.13809967041016,65.5938949584961,71.23580169677734,104.294189453125,402.08001708984375
2015-01-15,75.46090698242188,19.32719039916992,42.30729675292969,40.47659683227539,57.21418762207031,43.2828254699707,68.11570739746094,110.6325454711914,55.1024169921875,80.78323364257812,58.264442443847656,33.54679489135742,120.15202331542967,88.154052734375,136.09286499023438,97.60830688476562,65.23085021972656,71.11866760253906,102.3361358642578,394.9296569824219
2015-01-16,76.60216522216797,19.5657958984375,43.09355163574219,41.538543701171875,57.985382080078125,43.76040267944336,70.43055725097656,115.37330627441406,55.761531829833984,81.6219711303711,58.95888900756836,33.755367279052734,121.27482604980467,89.25957489013672,137.9513702392578,98.54914093017578,65.01673126220703,72.26777648925781,104.13399505615234,406.4358825683594
2015-01-20,74.577392578125,19.74475479125977,42.806396484375,40.83702087402344,59.0928955078125,43.85872268676758,72.57750701904297,114.7689208984375,55.33235168457031,80.93333435058594,57.98777770996094,33.931217193603516,121.22643280029295,89.1329574584961,137.05892944335938,99.06979370117188,63.17345428466797,72.25308990478516,103.14605712890624,418.787353515625
2015-01-21,75.0265121459961,19.470355987548828,42.49873352050781,40.35430145263672,59.26515579223633,43.507572174072266,72.43766784667969,114.60870361328124,55.991416931152344,81.32178497314453,57.56888961791992,34.0498161315918,121.34259033203124,92.25542449951172,141.02430725097656,100.5951919555664,64.48609161376953,73.08306121826172,103.13716888427734,415.8038940429687
2015-01-22,76.39601135253906,19.571765899658203,42.792720794677734,40.534515380859375,59.445682525634766,43.60590362548828,73.52861785888672,116.2034912109375,57.8460578918457,82.43423461914062,58.37555694580078,34.55693435668945,122.93004608154295,96.0782699584961,141.36471557617188,102.4677276611328,65.53803253173828,73.65599060058594,105.33557891845705,418.4889831542969
2015-01-23,75.24740600585938,19.357011795043945,42.724365234375,40.180519104003906,59.17494583129883,43.591854095458984,73.8083724975586,116.37825775146484,58.972625732421875,81.84268951416016,57.50777816772461,34.40970230102539,120.86832427978516,94.51705932617188,139.35902404785156,100.44903564453124,63.899600982666016,73.90572357177734,104.11619567871094,417.8923034667969
2015-01-26,75.29158020019531,19.5657958984375,42.949981689453125,40.43796920776367,59.15853500366211,43.865745544433594,74.90630340576172,116.32003021240234,57.93033981323242,81.71027374267578,57.88999938964844,34.21341323852539,121.61361694335938,94.18795013427734,139.84661865234375,99.93753814697266,67.95850372314453,74.19216918945312,104.19627380371094,421.43267822265625
