Date,AMZN,TSLA,HD,LOW,MCD,SBUX,NKE,TGT,BKNG,MAR,HLT,MGM,ROST,TJX,GM,F,ULTA,ORLY,AZO,PVH,TPR,CCL,RCL,EBAY,LULU
2015-01-02,15.425999641418455,14.620667457580566,79.90190887451172,55.49311065673828,70.67049407958984,32.659332275390625,41.38149642944336,54.4195556640625,1123.673828125,69.79989624023438,50.33695602416992,19.853612899780273,42.17818069458008,29.191865921020508,26.899030685424805,8.528311729431152,126.83999633789062,12.807332992553713,616.7899780273438,124.31998443603516,26.949491500854492,38.915916442871094,72.9288101196289,21.054216384887695,55.34000015258789
2015-01-05,15.10949993133545,14.005999565124512,78.22554016113281,54.16521453857422,69.88996887207031,32.033748626708984,40.71525192260742,53.44430923461914,1079.9097900390625,67.8876953125,48.70692825317383,19.305797576904297,42.146671295166016,28.86541175842285,26.50527572631836,8.195175170898438,127.1500015258789,12.58133316040039,608.489990234375,119.96082305908205,26.53055000305176,38.72819900512695,71.83861541748047,20.87816619873047,55.959999084472656
2015-01-06,14.76449966430664,14.085332870483398,77.98603820800781,54.28816986083984,70.01879119873047,31.77308464050293,40.47574996948242,53.43708419799805,1062.573486328125,67.03482818603516,48.2606086730957,18.569074630737305,42.22766876220703,28.72366714477539,26.906755447387695,8.117441177368164,126.9499969482422,12.538666725158691,607.8200073242188,115.10962677001952,26.219951629638672,39.10362243652344,72.04962921142578,20.608484268188477,55.56999969482422
2015-01-07,14.92099952697754,14.063332557678224,80.65897369384766,55.90296936035156,71.23881530761719,32.55507278442383,41.31184005737305,55.4598388671875,1052.350830078125,68.56997680664062,49.036808013916016,19.296348571777344,43.0511589050293,29.312143325805664,27.67111015319824,8.350638389587402,130.5800018310547,12.652667045593262,607.239990234375,118.05184936523438,27.028947830200195,39.24866485595703,73.13981628417969,20.574769973754883,57.650001525878906
2015-01-08,15.02299976348877,14.041333198547363,82.4435043334961,57.08331298828125,71.5040512084961,33.080406188964844,42.265480041503906,55.71990203857422,1065.4168701171875,70.84127044677734,50.3951530456543,19.570253372192383,43.62267303466797,29.46677017211914,27.949054718017575,8.561623573303223,132.24000549316406,12.88266658782959,606.0,117.18590545654295,27.71514129638672,39.82887268066406,74.30036926269531,21.129127502441406,59.06999969482422
2015-01-09,14.846500396728516,13.77733325958252,81.02978515625,56.0095100402832,70.63257598876953,31.997661590576172,41.79954147338867,55.21422576904297,1035.024169921875,70.6797103881836,49.89064025878906,19.371912002563477,42.83966827392578,29.101665496826172,27.47809410095215,8.445025444030762,131.57000732421875,12.52066707611084,606.02001953125,115.99526977539062,27.592355728149418,39.50464630126953,73.7816390991211,20.83696937561035,58.630001068115234
2015-01-12,14.570500373840332,13.480667114257812,80.66668701171875,55.616065979003906,70.48104858398438,32.17410659790039,41.74293518066406,55.35869598388672,1023.2372436523438,69.94353485107422,49.386112213134766,19.098003387451172,43.123172760009766,28.95133399963379,27.67111015319824,8.450582504272461,129.83999633789062,12.371999740600586,597.3599853515625,115.85749053955078,27.85960578918457,39.4961051940918,73.20136260986328,20.675901412963867,62.59000015258789
2015-01-13,14.737000465393066,13.616666793823242,80.13365173339844,55.6242561340332,70.34464263916016,32.43075942993164,41.372798919677734,54.86745834350586,1021.1118774414062,69.50363159179688,49.77421569824219,19.220794677734375,42.68666458129883,28.848236083984375,27.215587615966797,8.445025444030762,128.80999755859375,12.18333339691162,588.9500122070312,116.073974609375,27.361196517944336,39.214542388916016,73.21018981933594,20.64968490600586,63.060001373291016
2015-01-14,14.66349983215332,12.845999717712402,79.29161071777344,55.23899459838867,69.36710357666016,32.25029373168945,40.806697845458984,53.69713592529297,1018.9967041015624,68.74056243896484,50.31754302978515,19.107450485229492,41.68317794799805,28.44875717163086,26.482114791870117,8.389503479003906,128.75,12.163999557495115,582.780029296875,112.8857650756836,26.69668197631836,38.80499649047851,72.04082489013672,20.237661361694336,63.400001525878906
2015-01-15,14.34749984741211,12.791333198547363,78.03240203857422,54.38652038574219,69.245849609375,31.913440704345703,40.4147834777832,54.66517639160156,982.1790161132812,68.3186264038086,49.67718505859375,19.11689186096191,41.01268005371094,28.040691375732425,25.81041145324707,8.250697135925293,127.13999938964844,11.997332572937012,575.280029296875,109.07765197753906,26.191062927246097,38.54049301147461,71.65398406982422,19.859357833862305,62.5099983215332
