Date,LIN,APD,ECL,SHW,PPG,MLM,VMC,NUE,STLD,FCX,ALB,DD
2015-01-02,106.3248519897461,103.62750244140624,92.69916534423828,78.92681884765625,94.35297393798828,101.65802001953124,61.198997497558594,37.831024169921875,15.793319702148438,20.731447219848633,51.52745819091797,20.96738052368164
2015-01-05,103.51844024658205,100.31410217285156,90.62853240966795,78.6922607421875,91.91804504394533,97.51284790039062,59.508670806884766,36.3875732421875,14.840954780578612,19.499008178710938,49.818702697753906,20.318906784057617
2015-01-06,102.1929702758789,100.27845001220705,87.91801452636719,78.45464324951172,91.69182586669922,96.57742309570312,59.37164306640625,35.862667083740234,14.412386894226074,19.83352851867676,48.8447151184082,19.99237060546875
2015-01-07,103.33844757080078,101.361572265625,89.20662689208984,79.79296875,92.09902954101562,98.83340454101562,60.49546813964844,36.19459533691406,14.618733406066896,20.124025344848633,48.6482048034668,19.96017265319824
2015-01-08,105.04029083251952,103.70590209960938,91.19730377197266,81.97633361816406,94.55039978027344,102.63009643554688,62.386810302734375,37.07456588745117,15.126654624938965,20.57299041748047,50.177547454833984,20.456886291503903
2015-01-09,103.62480926513672,102.15251922607422,90.05086517333984,82.52971649169922,93.353515625,100.6767578125,62.395938873291016,36.88157653808594,14.999677658081056,20.64341735839844,50.425323486328125,20.4246883392334
2015-01-12,103.39568328857422,101.4470672607422,89.54432678222656,81.5312728881836,93.0573501586914,100.96105194091795,62.359397888183594,35.507591247558594,14.420326232910156,20.308897018432617,51.00629425048828,20.305112838745117
2015-01-13,102.6838836669922,100.91267395019533,90.57520294189452,80.94178009033203,93.36172485351562,99.73218536376952,61.54620742797851,35.24515151977539,13.896526336669922,18.77660369873047,52.10844039916992,20.056764602661133
2015-01-14,101.93928527832033,99.70843505859376,90.05086517333984,80.96583557128906,93.353515625,97.81548309326172,61.893409729003906,34.280277252197266,13.690180778503418,16.724027633666992,50.852500915527344,19.973970413208008
2015-01-15,101.84112548828124,99.37353515625,89.47321319580078,81.37787628173828,93.03678131103516,95.90794372558594,60.50458526611328,34.12588882446289,13.634624481201172,16.358129501342773,49.6222038269043,19.918790817260746
2015-01-16,101.07205200195312,99.55168151855467,90.83292388916016,82.34928131103516,94.75605010986328,98.98934173583984,61.11676788330078,34.28799057006836,13.769540786743164,17.170246124267578,49.99812698364258,20.599456787109375
2015-01-20,102.2011260986328,100.74163055419922,91.14393615722656,81.95529174804688,93.8429718017578,99.5303955078125,61.208152770996094,34.03326416015625,13.594940185546877,17.197011947631836,49.38297653198242,20.295917510986328
2015-01-21,102.82296752929688,101.96723175048828,92.42366027832033,82.16881561279297,93.78948211669922,101.19947052001952,62.11268997192383,33.971500396728516,13.7298583984375,17.714618682861328,50.07501220703125,20.57645606994629
2015-01-22,104.2875518798828,102.83659362792967,94.52986145019533,83.3387222290039,95.15502166748048,101.75890350341795,63.88523483276367,34.61989974975586,14.15048885345459,17.8663272857666,50.87812805175781,20.861600875854492
2015-01-23,103.37116241455078,102.22378540039062,94.09440612792967,82.40642547607422,93.6989974975586,100.72259521484376,63.720794677734375,33.80939483642578,13.507646560668944,17.170246124267578,48.56277847290039,20.49827003479004
2015-01-26,101.8820343017578,101.95301818847656,95.10750579833984,82.79137420654297,93.70310974121094,103.10701751708984,64.43346405029297,34.218509674072266,13.86478042602539,17.455814361572266,48.819087982177734,20.493671417236328
2015-01-27,100.80201721191406,101.07655334472656,94.62763214111328,82.4575424194336,92.9381103515625,102.3183135986328,64.1684799194336,34.59675598144531,14.0235013961792,16.402753829956055,48.16121673583984,20.314311981201172
2015-01-28,100.33563232421876,98.92461395263672,92.05042266845705,81.48011016845703,91.2023696899414,98.63167572021484,63.98576354980469,33.99465560913086,14.047316551208496,15.546028137207031,47.30683517456055,19.790008544921875
2015-01-29,99.37014770507812,104.73912048339844,92.76136779785156,82.66504669189453,92.83525848388672,100.89684295654295,65.18267822265625,33.755374908447266,13.436216354370115,15.01949977874756,40.813568115234375,20.700637817382812
2015-01-30,98.66654205322266,103.75579833984376,92.2192611694336,81.5823745727539,91.6712646484375,98.80587768554688,64.42435455322266,33.69363021850586,13.523520469665527,15.001653671264648,41.232215881347656,20.769622802734375
2015-02-02,100.00016784667967,105.23076629638672,91.97044372558594,82.0605239868164,92.0208740234375,103.94153594970705,65.27405548095703,34.12588882446289,13.602879524230955,15.572799682617188,40.94173431396485,20.79721450805664
2015-02-03,101.03112030029295,105.7509536743164,94.27216339111328,82.27410888671875,93.3247299194336,105.64732360839844,65.62126159667969,35.29917526245117,14.356833457946776,16.938209533691406,42.18912124633789,21.56527328491211
2015-02-04,100.40108489990234,105.75804138183594,92.8147201538086,82.4334716796875,93.55091094970705,105.44554901123048,65.30147552490234,35.121639251708984,14.293341636657717,16.322433471679688,41.736297607421875,21.25713348388672
2015-02-05,101.95568084716795,107.9669952392578,94.53875732421876,83.57627868652344,94.7519302368164,107.8482894897461,67.62225341796875,36.76579284667969,15.110787391662598,17.482587814331055,42.50523376464844,21.983789443969727
2015-02-06,102.47933197021484,107.11193084716795,94.80535888671876,84.30110168457031,94.95349884033205,108.1875991821289,68.73696899414062,37.25981521606445,15.086974143981934,16.822195053100586,43.64156723022461,22.259735107421875
2015-02-09,102.3075180053711,106.72000885009766,95.30301666259766,82.52069854736328,93.29181671142578,109.27893829345705,69.5958023071289,37.08999252319336,15.21395778656006,17.411190032958984,44.54721450805664,22.19534683227539
