Date,PLD,AMT,CCI,SPG,O,PSA,WELL,EQIX
2015-01-02,31.632070541381836,77.25251770019531,51.01788711547851,109.11900329589844,28.334924697875977,123.3865966796875,50.14801406860352,175.04212951660156
2015-01-05,31.61021423339844,76.13642120361328,50.690643310546875,109.56645965576172,28.917728424072266,123.966552734375,50.76713943481445,173.2426300048828
2015-01-06,31.719472885131836,75.93489074707031,50.59440994262695,112.6162109375,29.296533584594727,126.08195495605467,51.49053192138672,169.46609497070312
2015-01-07,32.20017623901367,76.73323059082031,51.65313720703125,114.6886215209961,29.77440643310547,128.66529846191406,51.966251373291016,170.0221405029297
2015-01-08,32.20746994018555,77.44629669189453,52.46800994873047,114.52375030517578,28.98764991760254,130.41822814941406,51.75119400024414,172.05332946777344
2015-01-09,32.15648651123047,77.05103302001953,52.37177276611328,115.73068237304688,29.331493377685547,130.81365966796875,51.8033447265625,167.50445556640625
2015-01-12,32.484222412109375,76.71773529052734,52.307613372802734,115.8425750732422,29.73943328857422,130.5830078125,52.58537673950195,167.49671936035156
2015-01-13,31.836013793945312,75.86512756347656,52.18568420410156,115.91905212402344,29.797739028930664,131.09046936035156,52.70268630981445,167.78248596191406
2015-01-14,31.843297958374023,75.3846206665039,52.39101791381836,116.94353485107422,30.12993049621582,131.02455139160156,53.373924255371094,169.0413818359375
2015-01-15,31.87970542907715,74.62499237060547,52.378177642822266,117.79133605957033,30.42713737487793,131.43312072753906,54.20157241821289,168.52392578125
2015-01-16,32.15648651123047,75.50861358642578,53.01984786987305,118.2210922241211,30.75931739807129,133.28492736816406,54.94449996948242,170.0916290283203
2015-01-20,31.93069076538086,75.28385162353516,52.622039794921875,117.53224182128906,30.735998153686523,133.5023956298828,54.331912994384766,171.75982666015625
2015-01-21,32.06907272338867,74.98931121826172,52.20494842529297,117.87960815429688,30.74181747436523,132.46775817871094,53.71930694580078,172.547607421875
2015-01-22,32.86298370361328,76.60145568847656,54.700984954833984,120.12274169921876,30.998254776000977,135.24221801757812,54.08427429199219,176.97286987304688
2015-01-23,33.00136184692383,77.1982650756836,55.714805603027344,119.58112335205078,31.202234268188477,133.6144561767578,54.24067306518555,178.09275817871094
2015-01-26,33.39466094970703,78.87248229980469,56.49761962890625,120.78804779052734,31.88991928100586,134.69525146484375,54.142921447753906,177.17369079589844
