Date,XOM,CVX,COP,EOG,SLB,HAL,DVN,OXY,MPC,VLO,PSX,KMI,WMB,EQT
2015-01-02,57.91689682006836,70.2095718383789,48.29014587402344,67.46918487548828,62.90339660644531,31.979942321777344,41.77597427368164,58.248146057128906,32.719120025634766,32.82688522338867,48.321815490722656,24.49133682250977,24.466339111328125,38.745643615722656
2015-01-05,56.33220291137695,67.4031753540039,45.99195098876953,63.402320861816406,61.1999397277832,31.34826278686523,40.227195739746094,56.08867645263672,31.80866813659668,31.477031707763672,45.40069961547851,23.827720642089844,23.49785423278809,36.67637634277344
2015-01-06,56.03271484375,67.37197875976562,44.09314727783203,61.59563064575195,60.00310897827149,31.040538787841797,39.40483474731445,55.61200714111328,31.49448585510254,31.09228515625,44.13065719604492,23.35859107971191,23.17863655090332,36.25654983520508
2015-01-07,56.600460052490234,67.31585693359375,44.38742446899414,61.207977294921875,59.99576568603515,31.874650955200195,39.58987045288086,55.619239807128906,31.75511932373047,30.851015090942383,44.32451629638672,23.667530059814453,23.05419921875,36.30652618408203
2015-01-08,57.54256057739258,68.85625457763672,45.49447250366211,63.54861831665039,60.72267532348633,32.5629997253418,40.994728088378906,56.1103515625,32.5013313293457,32.618221282958984,46.04909133911133,24.222457885742188,23.27602767944336,37.760986328125
2015-01-09,57.461463928222656,67.48424530029297,45.48746490478515,63.972869873046875,59.6359977722168,32.23096466064453,41.39906311035156,56.002010345458984,31.59445571899414,31.724830627441406,44.992950439453125,23.919246673583984,22.98385429382324,38.02589797973633
2015-01-12,56.35716247558594,66.03114318847656,44.19123458862305,61.815059661865234,57.30841827392578,31.21059226989746,40.5218620300293,54.13142776489258,30.49833297729492,30.890138626098633,42.94083404541016,23.804826736450195,22.334596633911133,36.281551361083984
2015-01-13,56.15126037597656,64.98343658447266,43.749794006347656,62.21734619140625,57.11014175415039,31.008134841918945,40.35739517211914,54.145870208740234,28.870237350463867,29.964160919189453,41.10929107666016,23.392915725708008,22.150636672973633,36.30153274536133
2015-01-14,55.98905944824219,64.7963638305664,43.87593078613281,64.30465698242188,57.558048248291016,31.048629760742188,40.09013366699219,54.51420211791992,27.71700096130371,29.25335693359375,39.718936920166016,23.58171272277832,22.46985626220703,36.596435546875
2015-01-15,55.502403259277344,64.0292739868164,43.02812194824219,63.41786575317383,56.26576614379883,30.230712890625,39.65153503417969,54.882530212402344,27.43851089477539,28.738201141357425,39.49834060668945,23.32426643371582,22.523963928222656,36.251564025878906
2015-01-16,56.85002136230469,65.55717468261719,44.19822692871094,66.18824768066406,59.71674728393555,31.688390731811523,41.597801208496094,56.3775634765625,27.6920108795166,29.605499267578125,40.66144180297851,23.759056091308594,22.724143981933594,37.78097915649414
2015-01-20,56.831336975097656,66.39909362792969,44.27530670166016,65.46997833251953,59.092655181884766,32.25527572631836,40.87137222290039,56.34147644042969,28.71314811706543,30.32932472229004,42.526405334472656,23.924970626831055,22.772851943969727,37.016265869140625
2015-01-21,57.31795501708984,67.45307922363281,45.22121047973633,66.3568115234375,60.36287307739258,32.95170593261719,42.21455764770508,57.22980499267578,28.902366638183594,30.772764205932617,44.284393310546875,24.027942657470703,23.14076232910156,38.36076354980469
2015-01-22,57.94186019897461,67.92704010009766,45.75372314453125,66.22488403320312,60.31150436401367,33.056983947753906,41.97471618652344,56.95536422729492,29.980642318725582,31.300962448120117,44.992950439453125,24.07370948791504,23.43833923339844,37.915916442871094
2015-01-23,56.706520080566406,66.63610076904297,45.29829406738281,66.54003143310547,60.20869827270508,33.19466018676758,41.22773361206055,56.94813919067383,31.119592666625977,32.709510803222656,45.80176544189453,24.18240737915039,23.45456886291504,37.516082763671875
2015-01-26,57.249324798583984,67.90206146240234,46.118064880371094,67.66867065429688,61.44225311279297,33.57527160644531,42.29680633544922,58.00983428955078,31.48733711242676,33.381160736083984,45.72154998779297,24.18240737915039,23.670991897583008,37.71099853515625
2015-01-27,56.74398040771485,67.51544189453125,45.9218864440918,68.15972137451172,62.08106231689453,33.60768127441406,42.55721282958984,57.35258102416992,31.662290573120117,33.407264709472656,46.52368927001953,24.273941040039062,23.78461265563965,37.551055908203125
2015-01-28,54.87227249145508,64.67781829833984,43.847904205322266,64.5684814453125,59.2908935546875,31.96373176574707,40.04215621948242,55.250885009765625,31.880083084106445,33.58984375,45.701515197753906,23.661802291870117,23.000091552734375,36.821346282958984
2015-01-29,54.641414642333984,64.23506927490234,44.01606369018555,65.16213989257812,60.13530349731445,32.04471206665039,40.24089813232422,56.55815505981445,32.13714599609375,33.96154022216797,47.11191177368164,23.5461368560791,23.58442497253418,36.846336364746094
2015-01-30,54.54157257080078,63.94196701049805,44.12816619873047,65.25011444091797,60.495059967041016,32.384849548339844,41.30311584472656,57.77871322631836,33.05831527709961,34.48322677612305,47.00496673583984,23.74277687072754,23.730506896972656,37.206199645996094
2015-02-02,55.88922119140625,66.14337921142578,46.08305358886719,67.80792999267578,62.147125244140625,33.61576843261719,43.064327239990234,57.89426803588867,33.540321350097656,35.50052261352539,48.66271209716797,24.07244873046875,24.25533103942871,37.7709846496582
2015-02-03,57.555049896240234,68.30744171142578,47.46335220336914,70.58562469482422,63.938697814941406,35.081546783447266,43.90726089477539,59.331512451171875,34.21155548095703,35.461395263671875,50.053070068359375,23.991479873657227,24.931640625,38.415740966796875
2015-02-04,57.06217193603515,67.57156372070312,46.15310287475586,69.76477813720703,62.08106231689453,34.328426361083984,43.85929489135742,58.392608642578125,34.34364700317383,35.402706146240234,49.74559020996094,23.598180770874023,24.54207992553711,37.23618698120117
